"","V1"
"1",0.531242928100001
"2",0.8783414468
"3",0.541408414999999
"4",-0.255817234600002
"5",0.1714786808
"6",-0.029308137300001
"7",-1.4354354192
"8",-2.1042500117
"9",-1.1756857903
"10",-1.5315297492
"11",-2.0227617177
"12",-3.6283595197
"13",-3.7805859231
"14",-3.681256544
"15",-4.4611955511
"16",-5.1102646842
"17",-4.9593163687
"18",-4.3913797495
"19",-5.1317523134
"20",-4.6221389763
"21",-5.1156306043
"22",-4.4988715686
"23",-5.3243188137
"24",-5.291474767
"25",-4.496001511
"26",-4.2701748939
"27",-4.2840038448
"28",-4.1644024598
"29",-4.0724022746
"30",-3.8032006027
"31",-3.6121844017
"32",-3.3944772664
"33",-3.7765198375
"34",-3.8306145489
"35",-3.859317821
"36",-1.8050109503
"37",-2.899744578
"38",-3.0131179341
"39",-2.1982149458
"40",-1.9906125067
"41",-3.3848390826
"42",-5.0570936433
"43",-4.4485851599
"44",-3.324532803
"45",-3.1643050671
"46",-2.550080934
"47",-3.2947491375
"48",-0.9986062043
"49",0.435469467199997
"50",0.192791700699999
"51",4.0149185238
"52",0.9050711133
"53",0.067093890999999
"54",-2.2558438517
"55",-1.8254096205
"56",0.335283760499998
"57",-0.373748668300003
"58",4.2354518263
"59",2.2815998672
"60",4.3765154577
"61",2.6457170141
"62",4.5240702536
"63",5.932581411
"64",4.0865479877
"65",1.9752878434
"66",3.6840289408
"67",9.9189835714
"68",10.3630486099
"69",11.6550996952
"70",12.9741087618
"71",9.5906358313
"72",11.2657911517
"73",12.5902519023
"74",13.1397510904
"75",11.1284023944
"76",9.8658714178
"77",10.109144666
"78",9.2115794389
"79",8.5420028209
"80",8.7735769417
"81",7.0904280945
"82",6.9691441538
"83",6.9389405281
"84",5.5526805477
"85",6.0853462885
"86",6.0561395994
"87",5.1211004473
"88",3.9673686222
"89",4.6362268431
"90",3.3862152131
"91",1.8489550262
"92",1.2190770101
"93",0.569445137600001
"94",-0.5218222534
"95",-1.4994989776
"96",-2.9342850598
"97",-3.2497279521
"98",-4.6687302528
"99",-4.5053401203
"100",-4.8353439254
"101",-5.433196905
"102",-5.5171064911
"103",-4.8628039824
"104",-4.9170014997
"105",-5.221348216
"106",-5.7442517076
"107",-5.9938374493
"108",-5.3939795505
"109",-5.1507071767
"110",-4.6768637252
"111",-4.9777945402
"112",-5.3426397723
"113",-5.6907578232
"114",-5.4692652911
"115",-5.7970623918
"116",-5.8512615933
"117",-5.1939087328
"118",-4.8560561026
"119",-4.1642513256
"120",-4.2894881078
"121",-3.7173313989
"122",-1.4704805206
"123",-2.4819254765
"124",-1.7092588667
"125",-0.679075102800001
"126",3.5619268536
"127",0.8250631947
"128",0.2996357498
"129",1.9845853152
"130",4.2257617809
"131",2.5381987128
"132",0.512934965999998
"133",1.642724105
"134",2.7638364519
"135",1.4826889353
"136",0.408736924900001
"137",2.7045393937
"138",3.0392960793
"139",3.4744924071
"140",3.5190314953
"141",5.4835195699
"142",3.4461201807
"143",3.9535313849
"144",3.5642631546
"145",4.3108145283
"146",0.0115608241999965
"147",4.3235107266
"148",4.1146997691
"149",1.2620759281
"150",0.880450882600002
"151",4.5646417252
"152",2.0311843236
"153",4.5253292041
"154",1.9734312462
"155",2.067423631
"156",0.669314199299999
"157",2.6861162101
"158",4.523862178
"159",5.8582710777
"160",5.2676487575
"161",6.1447199883
"162",5.7850123791
"163",7.6794961897
"164",7.4220449999
"165",10.3718551825
"166",8.7247546086
"167",12.4118344848
"168",11.6655481032
"169",14.1682844677
"170",11.5393095939
"171",9.7767629285
"172",11.8787931975
"173",15.0139334702
"174",16.8019616416
"175",10.6875006006
"176",11.0643887589
"177",9.4232317199
"178",8.4118393872
"179",7.8621080117
"180",8.0103173114
"181",7.4698327245
"182",5.9863917914
"183",5.0960302918
"184",3.9806614512
"185",2.4677065691
"186",0.772657536699999
"187",0.8863462626
"188",1.0394566305
"189",0.5804572209
"190",0.323022528399999
"191",-1.3435060398
"192",-1.5832259415
"193",-2.4776409017
"194",-3.2759666845
"195",-3.6069065544
"196",-4.570106126
"197",-5.0030947495
"198",-4.5937837295
"199",-4.7111011946
"200",-4.7767545899
"201",-5.4370793142
"202",-5.7219502796
"203",-5.4877384193
"204",-6.1971955825
"205",-5.8481853867
"206",-6.0642815505
"207",-6.1959939187
"208",-6.1762435729
"209",-5.4231771045
"210",-5.982548688
"211",-6.1380613767
"212",-6.1782891022
"213",-5.3579362919
"214",-5.3226030298
"215",-4.5259843048
"216",-4.415015755
"217",-3.5602271465
"218",-3.9517354879
"219",-0.512330858399999
"220",-2.6190271673
"221",-2.8668980571
"222",-2.1125781326
"223",-0.0756635540000001
"224",-0.7163605125
"225",2.4060120129
"226",1.9221847054
"227",2.1682913347
"228",4.279091126
"229",9.4087477037
"230",7.6168159427
"231",3.2020860189
"232",2.3340222846
"233",2.0049347792
"234",3.1395707762
"235",4.034175471
"236",3.0272216013
"237",5.295485042
"238",5.7207222636
"239",4.9220864149
"240",3.6107092945
"241",2.853351952
"242",5.5364881742
"243",2.8203246507
"244",4.2737344938
"245",4.8474830306
"246",3.4269416676
"247",3.0124676283
"248",1.8850061799
"249",3.5479382415
"250",2.9420090253
"251",2.2505379021
"252",1.9535681583
"253",3.4610943836
"254",4.2449494909
"255",3.5465225687
"256",4.8341463442
"257",6.2163594191
"258",9.4421817066
"259",8.5323309105
"260",7.6665402551
"261",10.3118991188
"262",9.0950357436
"263",9.9964430472
"264",11.5653815339
"265",10.9438371622
"266",10.1278418027
"267",11.4703390169
"268",12.8018096224
"269",13.8147152189
"270",12.3217493815
"271",9.5828764269
"272",7.404608147
"273",7.581086171
"274",6.8153418293
"275",5.3713647732
"276",4.2705722688
"277",3.5012530361
"278",4.7546233841
"279",3.4274128285
"280",2.9661237774
